word,translation,priority,article
Glücklich,Счастливый,-0.0439999999999994,
Montag,Понедельник,-0.0429999999999991,
Alles,Все,-0.0469999999999997,
Guten Morgen,Доброе утро,-0.0409999999999997,
Tier,животное,-0.0389999999999996,
Durst,жажда,-0.0289999999999995,
Löschen,Удалить,-0.012999999999999,
Löscher,Огнетушитель огниво,-0.0269999999999997,
Fernseher,Телевидение,-0.0229999999999994,
tut mir leid,"Мне жаль, прости",-0.0209999999999997,
brauche,нуждаться,-0.0139999999999993,
Mit,С,-0.0239999999999996,
Gottesdienst,поклонение,-0.0139999999999997,
Heutigen,Сегодня,-0.0139999999999997,
Gemeinde,Сообщество,-0.0149999999999997,
Braucht,Потребности,-0.0149999999999992,
Lobet,Хвалить,-0.0099999999999999,
Saiten,"Струны, нить",-0.0209999999999997,
Gegebe,"Здесь, учитывать",0.001,
Könige,Король,-0.0139999999999997,
Haupt,Основной,-0.004,
Söhne,Сыновья,-0.0099999999999997,
Wollen,Хотеть,-0.0129999999999997,
War,Был,-0.006,
Bliebe,Оставаться,-0.003,
nah bei,"Рядом, приближаться",-0.0119999999999997,
Frage,Вопрос,-0.0139999999999994,
Dein,Твой,-0.006,
Sprüche,Высказывания,-0.0109999999999998,
Wenn,Если,-0.0139999999999997,
Wort,Слово,-0.0109999999999998,
Gabel,Вилка,-0.0139999999999997,
genau,Точно,-0.002,
Still,Тихий,-0.001,
benutze,использовать,-0.002,
Zutaten,Ингредиенты,-0.003,
Geben,Давать,-0.004,
ein bisschen,немного,0.002,
mehr,более,-0.003,
Gog,Про,-0.003,
Donnerstag,Четверг,-0.001,
mittwoch,Среда,0.0,
mache gar nichts,нічого не робити,-0.001,
Geburtstag,День народження,0.0,
Feiern,святкувати,0.0,
leider,нажаль,0.0,
Wiederholen,повторити,0.0,
Kopfschmerzen,Головная боль,-0.001,
außerhalb,снаружи,0.0,
es ist verboten?,Это запрещено?,0.0,
in dieser zwischenzeit,в этот промежуток времени,0.0,
nun,тепер,0.0,
