word,translation,priority,article
Keks,бісквіт,-0.003,
die Oma, Бабуся,-0.005,  
die Omas, Бабусі,-0.001,  
die Familie, Сім'я,-0.004,  
die Eltern, Батьки,-0.004,  
die Sonne, Сонце,-0.004,  
süß, Солодкий,-0.007,  
der Vater, Батько,-0.002,  
die Väter, Батьки,-0.004,  
die Mutter, Мати,-0.004,  
die Mütter, Матері,-0.003,  
das Kind, Дитина,-0.002,  
die Kinder, Діти,-0.005,  
der Sohn, Син,-0.001,  
die Söhne, Сини,-0.006,  
die Tochter, Дочка,-0.002,  
die Töchter, Дочки,-0.002,  
das Auge, Око,-0.0109999999999998,  
die Augen, Очі,-0.0109999999999998,  
die Augenfarbe, Колір очей,-0.006,  
die Lieblingsfarbe, Улюблений колір,-0.008,  
die Farbe, Колір,-0.0129999999999997,  
die Geschwister, Брати і сестри,-0.004,  
der Bruder, Брат,-0.004,  
die Schwester, Сестра,-0.002,  
die Großeltern, Дідусі і бабусі,-0.001,  
der Großvater, Дідусь,-0.007,  
die Großmutter, Бабуся,-0.004,  
der Enkel, Внук,0.001,  
die Enkelin, Внучка,-0.002,  
der Onkel, Дядько,-0.007,  
die Tante, Тітка,-0.003,  
der Ehemann, Чоловік,-0.004,  
der Mann, Чоловік,-0.004,  
die Ehefrau, Дружина,-0.003,  
die Frau, Жінка,-0.001,  
der Kuss, Поцілунок,-0.008,  
der/die Single, Холостяк/Холостячка,-0.008,  
das Pony, Поні,-0.004,  
das Baby, Немовля,-0.006,  
die Kamera, Камера,-0.007,  
das Hobby, Хобі,-0.008,  
das Alter, Вік,-0.009,  
das Jahr, Рік,-0.005,  
der Familienstand, Сімейний стан,-0.007,  
ledig, Нежонатий/незаміжня,-0.0099999999999999,  
verheiratet, Одружений/заміжня,-0.0109999999999998,  
geschieden, Розлучений/розлучена,-0.001,  
verwitwet, Вдівець/вдова,-0.004,  
singen, Співати,-0.004,  
reisen, Подорожувати,-0.0109999999999998,  
reiten, Їздити верхи,-0.003,  
fliegen, Літати,-0.005,  
finden, Знайти,-0.006,  
küssen, Цілувати,-0.001,  
schicken, Надсилати,0.0,  
shoppen, Робити покупки,-0.0109999999999998,  
kreativ, Креативний,-0.003,  
die Sonne, Сонце,-0.004,  
süß, Солодкий,-0.007,  
reisen, Подорожувати,-0.0109999999999998,  
alt, Старий,-0.002,  
das Auge, Око,-0.0109999999999998,  
die Augen, Очі,-0.0109999999999998,  
die Augenfarbe, Колір очей,-0.006,  
die Augenfarben, Кольори очей,-0.001,  
die Lieblingsfarbe, Улюблений колір,-0.008,  
die Lieblingsfarben, Улюблені кольори,-0.001,  
die Farbe, Колір,-0.0129999999999997,  
die Farben, Кольори,-0.003,  
schwarz, Чорний,-0.008,  
braun, Коричневий,-0.003,  
grün, Зелений,-0.004,  
blau, Синій,-0.003,  
rot, Червоний,-0.004,  
lila, Фіолетовий,-0.006,  
orange, Помаранчевий,-0.005,  
weiß, Білий,-0.001,  
grau, Сірий,-0.004,  
rosa, Рожевий,-0.004,  
das Alter, Вік,-0.009,  
das Jahr, Рік,-0.005,  
die Jahre, Роки,-0.003,  
der Familienstand, Сімейний стан,-0.007,  
ledig, Нежонатий/незаміжня,-0.0099999999999999,  
verheiratet, Одружений/заміжня,-0.0109999999999998,  
geschieden, Розлучений/розлучена,-0.001,  
verwitwet, Вдівець/вдова,-0.004,  
der Single, Холостяк/Холостячка,-0.008,  
das Baby, Немовля,-0.006,  
die Babys, Немовлята,-0.001,  
verliebt, Закоханий,-0.003,  
das Hobby, Хобі,-0.008,  
die Hobbys, Хобі,-0.008,  
shoppen, Робити покупки,-0.0109999999999998, 
die Natur, Природа,0.0,  
die Gitarre, Гітара,-0.003,  
die Gitarren, Гітари,0.001,  
studieren, Навчатися,-0.002,  
der Beruf, Професія,-0.003,  
die Berufe, Професії,-0.002,  
der Student, Студент,-0.001,  
die Studenten, Студенти,-0.004,  
die Erzieherin, Вихователька,-0.002,  
die Erzieherinnen, Виховательки,-0.002,  
der Elektriker, Електрик,-0.003,  
die Elektriker, Електрики,-0.005,  
die Architektin, Архітекторка,-0.001,  
die Architektinnen, Архітекторки,0.0,  
der Elternabend, Батьківські збори,-0.001,  
die Elternabende, Батьківські збори (Plural),-0.002,  
organisieren, Організовувати,-0.001,  
das Problem, Проблема,0.001,  
die Probleme, Проблеми,-0.003,  
Kein Problem!, Немає проблем!,0.0,  
bleiben, Залишатися,-0.002,  
der Kindergarten, Дитячий садок,-0.007,  
